"spkid","full_name","diameter","epoch","e","a","i","om","w","tp","per"
20001862,"  1862 Apollo (1932 HA)",1.5,2460600.5,0.5599,1.471,6.35,35.56,286.03,2460794.35,651
20001866,"  1866 Sisyphus (1972 XA)",8.48,2460600.5,0.5380,1.894,41.21,63.45,293.12,2460628.69,952
20003122,"  3122 Florence (1981 ET3)",4.9,2460600.5,0.4231,1.769,22.14,336.05,27.90,2460598.89,859
20003671,"  3671 Dionysus (1984 KD)",1.5,2460600.5,0.5420,2.2,13.54,82.05,204.33,2460165.58,1.19e+03
20005143,"  5143 Heracles (1991 VL)",4.843,2460600.5,0.7710,1.835,8.98,309.09,228.22,2460485.77,908
20005381,"  5381 Sekhmet (1991 JY)",0.935,2460600.5,0.2964,0.9475,48.97,58.53,37.42,2460751.03,337
20005646,"  5646 (1990 TR)",4.3,2460600.5,0.4357,2.144,7.91,14.10,335.77,2460743.96,1.15e+03
20007088,"  7088 Ishtar (1992 AA)",1.298,2460600.5,0.3903,1.981,8.30,102.61,354.78,2460850.09,1.02e+03
20007335,"  7335 (1989 JA)",1.8,2460600.5,0.4846,1.772,15.17,61.28,232.27,2460626.41,862
20007888,"  7888 (1993 UC)",2.298,2460600.5,0.6631,2.438,26.07,165.89,323.01,2460507.27,1.39e+03
20007889,"  7889 (1994 LX)",1.680,2460600.5,0.3463,1.262,36.91,111.26,349.18,2460633.42,518
20015745," 15745 Yuliya (1991 PM5)",,2460600.5,0.2555,1.72,14.43,132.58,140.66,2460773.56,824
20031345," 31345 (1998 PG)",,2460600.5,0.3915,2.016,6.50,222.69,156.23,2460510.99,1.05e+03
20031346," 31346 (1998 PB1)",,2460600.5,0.4297,2.03,5.96,299.71,350.49,2460517.14,1.06e+03
20035107," 35107 (1991 VH)",0.929,2460600.5,0.1442,1.137,13.91,139.34,206.96,2460476.76,443
20053110," 53110 (1999 AR7)",,2460600.5,0.2144,1.644,40.63,85.42,58.21,2460524.54,770
20065803," 65803 Didymos (1996 GT)",0.78,2460600.5,0.3833,1.643,3.41,72.99,319.60,2460643.37,769
20066063," 66063 (1998 RO1)",,2460600.5,0.7200,0.991,22.69,351.84,151.16,2460533.78,360
20066391," 66391 Moshup (1999 KW4)",1.317,2460600.5,0.6884,0.6424,38.88,244.90,192.65,2460633.46,188
20068063," 68063 (2000 YJ66)",2.301,2460600.5,0.4576,2.334,5.72,308.82,50.39,2460787.87,1.3e+03
